Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D_Small","D_1206_3216Metric",19.050000,-7.143750,270.000000,bottom
"D2","D_Small","D_1206_3216Metric",19.050000,-35.718750,270.000000,bottom
"D3","D_Small","D_1206_3216Metric",16.668750,-54.768750,270.000000,bottom
"D4","D_Small","D_1206_3216Metric",21.431250,-73.818750,270.000000,bottom
"D5","D_Small","D_1206_3216Metric",21.431250,-100.993750,270.000000,bottom
"D6","D_Small","D_1206_3216Metric",38.100000,-7.143750,270.000000,bottom
"D7","D_Small","D_1206_3216Metric",38.100000,-35.718750,270.000000,bottom
"D8","D_Small","D_1206_3216Metric",38.100000,-54.768750,270.000000,bottom
"D9","D_Small","D_1206_3216Metric",38.100000,-73.818750,270.000000,bottom
"D10","D_Small","D_1206_3216Metric",38.100000,-92.868750,270.000000,bottom
"D11","D_Small","D_1206_3216Metric",38.100000,-111.918750,270.000000,bottom
"D12","D_Small","D_1206_3216Metric",57.150000,-7.143750,270.000000,bottom
"D13","D_Small","D_1206_3216Metric",57.150000,-35.718750,270.000000,bottom
"D14","D_Small","D_1206_3216Metric",57.150000,-54.768750,270.000000,bottom
"D15","D_Small","D_1206_3216Metric",57.150000,-73.818750,270.000000,bottom
"D16","D_Small","D_1206_3216Metric",57.150000,-92.868750,270.000000,bottom
"D17","D_Small","D_1206_3216Metric",76.200000,-7.143750,270.000000,bottom
"D18","D_Small","D_1206_3216Metric",76.200000,-35.718750,270.000000,bottom
"D19","D_Small","D_1206_3216Metric",73.768750,-54.768750,270.000000,bottom
"D20","D_Small","D_1206_3216Metric",76.200000,-73.818750,270.000000,bottom
"D21","D_Small","D_1206_3216Metric",73.818750,-92.868750,270.000000,bottom
"D22","D_Small","D_1206_3216Metric",76.768750,-111.918750,270.000000,bottom
"D23","D_Small","D_1206_3216Metric",104.775000,-7.143750,270.000000,bottom
"D24","D_Small","D_1206_3216Metric",104.775000,-35.718750,270.000000,bottom
"D25","D_Small","D_1206_3216Metric",109.537500,-54.768750,270.000000,bottom
"D26","D_Small","D_1206_3216Metric",111.918750,-73.818750,270.000000,bottom
"D27","D_Small","D_1206_3216Metric",114.300000,-92.868750,270.000000,bottom
"D28","MMSD4148","D_SOD-123",83.768750,-46.006250,180.000000,bottom
"D29","D_Small","D_1206_3216Metric",133.350000,-7.143750,270.000000,bottom
"D30","D_Small","D_1206_3216Metric",123.825000,-35.718750,270.000000,bottom
"D31","D_Small","D_1206_3216Metric",133.350000,-54.768750,270.000000,bottom
"D32","D_Small","D_1206_3216Metric",138.112500,-73.818750,270.000000,bottom
"D33","D_Small","D_1206_3216Metric",128.587500,-92.868750,270.000000,bottom
"D34","D_Small","D_1206_3216Metric",109.537500,-111.918750,270.000000,bottom
"D35","D_Small","D_1206_3216Metric",152.400000,-7.143750,270.000000,bottom
"D36","D_Small","D_1206_3216Metric",142.875000,-35.718750,270.000000,bottom
"D37","D_Small","D_1206_3216Metric",152.400000,-54.768750,270.000000,bottom
"D38","D_Small","D_1206_3216Metric",157.162500,-73.818750,270.000000,bottom
"D39","D_Small","D_1206_3216Metric",147.637500,-92.868750,270.000000,bottom
"D40","D_Small","D_1206_3216Metric",171.450000,-7.143750,270.000000,bottom
"D41","D_Small","D_1206_3216Metric",161.925000,-35.718750,270.000000,bottom
"D42","D_Small","D_1206_3216Metric",171.450000,-54.768750,270.000000,bottom
"D43","D_Small","D_1206_3216Metric",176.212500,-73.818750,270.000000,bottom
"D44","D_Small","D_1206_3216Metric",166.687500,-92.868750,270.000000,bottom
"D45","D_Small","D_1206_3216Metric",126.206250,-111.918750,270.000000,bottom
"D46","D_Small","D_1206_3216Metric",190.500000,-7.143750,270.000000,bottom
"D47","D_Small","D_1206_3216Metric",180.975000,-35.718750,270.000000,bottom
"D48","D_Small","D_1206_3216Metric",190.500000,-54.768750,270.000000,bottom
"D49","D_Small","D_1206_3216Metric",195.262500,-73.818750,270.000000,bottom
